,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,MMM,MRY,2018-12-31,2018-12-31,2018-12-31,2019-04-26,-6866000000,36500000000,37282000000,13709000000,22791000000,0.879,16.869,-1315000000,2853000000,2853000000,16682000000,5363000000,1.892,2.721,14622000000,1211000000,13411000000,14622000000,0,1488000000,0,0.029,5.44,6986000000,8474000000,0.259,8474000000,6986000000,6986000000,9.09,8.89,9.09,9796000000,10346500000,9796000000,122609990703,18,14.469,5124000000,8.707,1.0,16083000000,0.491,12708000000,0,28317000000,28024500000,4366000000,380000000,380000000,0,26652000000,7244000000,19408000000,110948990703,-200000000,859000000,-4385000000,933000000,-3193000000,-6701000000,222000000,669000000,6439000000,-160000000,5349000000,5349000000,5349000000,0,14000000,0.163,8876000000,7207000000,2266000000,0.598,11.326,20.742,20.961,8738000000,0,190.54,3.386,3.422,5020000000,40636000000,32765000000,32765000000,1821000000,0.143,0.517,0.249,0.213,302000000,7602000000,1.0,582287135,588500000,602000000,55.675,23792000000,0,1637000000,243000000,40.971,6465000000
1,MMM,MRY,2017-12-31,2017-12-31,2017-12-31,2019-04-26,-7026000000,37987000000,35118250000,14277000000,23710000000,0.901,19.391,-1324000000,3053000000,3053000000,16055000000,4869000000,1.857,2.28,13949000000,1853000000,12096000000,13949000000,0,1544000000,0,0.02,4.7,7537000000,9081000000,0.287,9081000000,7537000000,7537000000,8.13,7.93,8.13,11563000000,11572250000,11563000000,149020280380,20,16.41,4916000000,8.228,1.0,15602000000,0.493,13449000000,0,27747000000,26182750000,4034000000,1076000000,1076000000,0,26365000000,7687000000,18678000000,140188280380,655000000,-958000000,-1334000000,1603000000,-2803000000,-2655000000,-3086000000,-798000000,6240000000,156000000,4858000000,4858000000,4858000000,0,11000000,0.153,7910000000,7692000000,1945000000,0.578,12.124,28.857,28.951,8866000000,0,235.37,4.428,4.442,4911000000,39115000000,31657000000,31657000000,1870000000,0.138,0.42,0.288,0.238,324000000,6626000000,1.0,595608108,597500000,612700000,52.982,24538000000,0,2679000000,310000000,41.15,6590000000
2,MMM,MRY,2016-12-31,2016-12-31,2016-12-31,2019-04-26,-7245000000,32906000000,33293500000,11726000000,21180000000,0.904,17.158,-1362000000,2398000000,2398000000,15118000000,5058000000,1.886,2.191,11650000000,972000000,10678000000,11650000000,0,1474000000,0,0.025,4.44,7045000000,8519000000,0.283,8519000000,7045000000,7045000000,8.35,8.16,8.35,10298000000,11481750000,10298000000,117456855227,17,13.788,5300000000,8.765,1.0,14991000000,0.498,11486000000,0,24453000000,24548500000,3385000000,280000000,280000000,0,22563000000,6219000000,16344000000,107403855227,600000000,126000000,-2949000000,1043000000,-2678000000,-4626000000,-1403000000,-163000000,6662000000,-33000000,5050000000,5050000000,5050000000,0,8000000,0.168,7964000000,7027000000,1798000000,0.532,10.43,21.268,21.386,8516000000,0,178.57,3.567,3.586,4392000000,37907000000,30109000000,30109000000,1764000000,0.152,0.44,0.287,0.234,298000000,6311000000,1.0,601466401,604700000,618700000,49.792,21420000000,0,1995000000,299000000,35.688,5507000000
3,MMM,MRY,2015-12-31,2015-12-31,2015-12-31,2019-04-26,-6359000000,32883000000,32043000000,10986000000,21897000000,0.945,18.608,-1428000000,1798000000,1798000000,15383000000,4841000000,1.543,1.874,10797000000,2044000000,8753000000,10797000000,0,1435000000,0,0.027,4.1,6815000000,8250000000,0.273,8250000000,6815000000,6815000000,7.72,7.58,7.72,11429000000,12656250000,11429000000,102398996830,15,12.412,4992000000,7.98,1.0,14891000000,0.492,11850000000,0,22914000000,23080000000,3518000000,244000000,118000000,126000000,21415000000,7118000000,14297000000,92750996830,-99000000,-2791000000,-4603000000,3482000000,-2561000000,-3648000000,-2817000000,1300000000,6420000000,-54000000,4833000000,4833000000,4833000000,0,8000000,0.16,7945000000,6946000000,1694000000,0.531,8.115,19.191,19.513,8515000000,0,150.64,3.064,3.113,4154000000,36296000000,30274000000,30274000000,1763000000,0.151,0.382,0.295,0.225,122000000,6229000000,1.0,615712937,625600000,637200000,48.392,21033000000,0,1982000000,332000000,34.245,3868000000
4,MMM,MRY,2014-12-31,2014-12-31,2014-12-31,2019-04-26,-6289000000,31209000000,32875500000,12303000000,18906000000,0.968,20.544,-1358000000,1897000000,1897000000,16447000000,4998000000,2.063,1.378,6811000000,106000000,6705000000,6811000000,0,1408000000,0,0.021,3.42,7126000000,8534000000,0.268,8534000000,7126000000,6984000000,7.63,7.49,7.63,13109000000,16021000000,13109000000,110714352117,16,12.973,5268000000,8.115,1.0,15374000000,0.483,8485000000,142000000,21674000000,21979000000,3706000000,1556000000,1439000000,117000000,18067000000,5964000000,12103000000,105299352117,-684000000,-94000000,-4684000000,1010000000,-2216000000,-6603000000,-596000000,754000000,6626000000,-111000000,4956000000,4956000000,4956000000,0,42000000,0.156,8239000000,7135000000,1807000000,0.448,8.033,21.247,21.536,8489000000,0,164.32,3.309,3.352,4238000000,34317000000,31821000000,31821000000,1770000000,0.151,0.309,0.324,0.224,113000000,6469000000,1.0,640818842,649200000,662000000,49.016,22724000000,0,2028000000,435000000,35.612,6339000000
5,MMM,MRY,2013-12-31,2013-12-31,2013-12-31,2019-04-26,-3913000000,33550000000,33828250000,12733000000,20817000000,0.913,26.185,-1537000000,2581000000,2581000000,16106000000,4721000000,1.698,0.891,6009000000,1683000000,4326000000,6009000000,0,1371000000,0,0.018,2.54,6645000000,8016000000,0.26,8016000000,6645000000,6500000000,6.83,6.72,6.83,17502000000,17814000000,17502000000,97863072480,15,12.208,4280000000,6.277,1.0,14765000000,0.478,9033000000,145000000,20447000000,21189250000,3864000000,2331000000,756000000,1575000000,15602000000,7498000000,8104000000,94426072480,-302000000,8000000,-3603000000,-37000000,-1730000000,-5246000000,-856000000,627000000,5817000000,-17000000,4659000000,4659000000,4659000000,0,62000000,0.151,8099000000,6666000000,1799000000,0.372,5.395,20.267,20.534,8652000000,0,140.25,3.059,3.098,4253000000,32416000000,30871000000,30871000000,1715000000,0.138,0.262,0.314,0.215,148000000,6384000000,1.0,673269679,681900000,693600000,45.272,24517000000,0,1841000000,417000000,36.68,5235000000
6,MMM,MRY,2012-12-31,2012-12-31,2012-12-31,2019-04-26,-4750000000,33876000000,33427250000,13630000000,20246000000,0.895,25.416,-1443000000,2883000000,2883000000,15685000000,4511000000,2.198,0.901,6001000000,1085000000,4916000000,6001000000,0,1288000000,0,0.025,2.36,6455000000,7743000000,0.259,7743000000,6455000000,6284000000,6.4,6.32,6.4,17575000000,16951750000,17575000000,67574819162,10,8.727,3857000000,5.558,1.0,14219000000,0.475,9310000000,171000000,21484000000,21462000000,3837000000,2973000000,1648000000,1325000000,15836000000,6200000000,9636000000,64245819162,664000000,-1046000000,-1192000000,722000000,-1635000000,-2058000000,-2686000000,-211000000,5300000000,108000000,4444000000,4444000000,4444000000,0,67000000,0.149,7736000000,6483000000,1762000000,0.369,3.656,14.457,14.508,8378000000,0,92.85,2.148,2.155,4061000000,30679000000,29904000000,29904000000,1634000000,0.133,0.262,0.301,0.216,161000000,6102000000,1.0,691931278,693900000,703300000,43.096,24566000000,0,1840000000,371000000,35.526,7430000000
7,MMM,MRY,2011-12-31,2011-12-31,2011-12-31,2019-04-26,-5025000000,31616000000,31785500000,12240000000,19376000000,0.932,21.988,-1324000000,2219000000,2219000000,15693000000,4357000000,2.25,1.022,5166000000,682000000,4484000000,5166000000,0,1236000000,0,0.027,2.2,6143000000,7379000000,0.249,7379000000,6143000000,5957000000,6.05,5.96,6.05,15420000000,16553000000,15420000000,60063035778,10,8.14,3960000000,5.589,1.0,13918000000,0.47,8963000000,186000000,20159000000,19455250000,3416000000,2512000000,1461000000,1051000000,15754000000,5441000000,10313000000,57280035778,-1158000000,-649000000,-1799000000,-307000000,-1555000000,-3675000000,-2718000000,-745000000,5284000000,-49000000,4283000000,4283000000,4283000000,0,74000000,0.145,7740000000,6178000000,1643000000,0.364,3.715,13.374,13.509,7666000000,0,81.73,1.934,1.956,3867000000,28348000000,29611000000,29611000000,1570000000,0.135,0.259,0.316,0.207,200000000,6170000000,1.0,700844681,708500000,719000000,41.794,22653000000,0,1674000000,355000000,32.301,6799000000
0,ABT,MRY,2018-12-31,2018-12-31,2018-12-31,2019-05-01,-7586000000,67173000000,69533250000,14632000000,52541000000,0.44,17.446,-1394000000,3844000000,3844000000,12706000000,2368000000,1.624,1.186,19566000000,207000000,19359000000,19566000000,0,3278000000,0,0.015,1.12,3733000000,7011000000,0.229,7011000000,3733000000,2907000000,1.34,1.33,1.34,30722000000,30998750000,30722000000,143224568205,38,20.429,4906000000,2.791,1.0,17872000000,0.584,42196000000,826000000,31687000000,32970000000,3796000000,1139000000,242000000,897000000,36451000000,9012000000,27439000000,127035568205,-5563000000,48000000,33000000,-8450000000,-1974000000,-10391000000,-1356000000,-58000000,6300000000,-116000000,2368000000,2368000000,2368000000,-34000000,0,0.077,14222000000,3650000000,2975000000,0.836,4.135,53.647,53.978,7563000000,0,72.33,4.154,4.158,5182000000,24560000000,30578000000,30578000000,2300000000,0.034,0.076,0.113,0.122,477000000,9744000000,1.0,1756333032,1758000000,1770000000,17.394,24977000000,1885000000,539000000,305000000,14.184,5620000000
1,ABT,MRY,2017-12-31,2017-12-31,2017-12-31,2019-05-01,-6062000000,76250000000,72634000000,20147000000,56103000000,0.377,17.79,-1135000000,9610000000,9610000000,12409000000,477000000,2.261,1.452,27924000000,714000000,27210000000,27924000000,0,3021000000,0,0.019,1.06,3259000000,6280000000,0.229,6280000000,3259000000,2355000000,0.27,0.27,0.27,31098000000,31662750000,31098000000,112349081207,34,17.89,4435000000,2.549,1.0,14981000000,0.547,45493000000,904000000,40159000000,38377750000,3601000000,883000000,0,883000000,45152000000,8912000000,36240000000,99336081207,-9213000000,-8437000000,233000000,-2942000000,-1849000000,-5281000000,-9618000000,-81000000,5570000000,116000000,477000000,477000000,477000000,-124000000,0,0.017,13417000000,1564000000,2402000000,3.926,3.194,208.252,211.37,7607000000,0,57.07,3.627,3.625,5249000000,23978000000,27390000000,27390000000,2260000000,0.007,0.015,0.085,0.119,406000000,9182000000,1.0,1740600687,1740000000,1749000000,15.741,30757000000,1944000000,1878000000,309000000,17.595,11235000000
2,ABT,MRY,2016-12-31,2016-12-31,2016-12-31,2019-05-01,-7263000000,52666000000,42907750000,26776000000,25890000000,0.486,14.008,-1121000000,18775000000,18775000000,9094000000,1400000000,4.02,1.542,22006000000,1325000000,20681000000,22006000000,0,1353000000,0,0.027,1.04,2181000000,3534000000,0.169,3534000000,2181000000,1750000000,0.94,0.94,0.94,20717000000,20812500000,20717000000,62561408778,29,17.703,2082000000,1.41,1.0,11759000000,0.564,12222000000,431000000,37015000000,26352750000,2434000000,2947000000,0,2947000000,31949000000,6660000000,25289000000,56551408778,13619000000,-55000000,-274000000,13155000000,-1539000000,11147000000,-248000000,886000000,3203000000,-483000000,1400000000,1400000000,1400000000,-337000000,0,0.067,8733000000,3026000000,1178000000,1.106,2.73,40.394,40.862,5705000000,0,38.41,2.712,2.721,3248000000,25565000000,20853000000,20853000000,1447000000,0.033,0.067,0.083,0.105,310000000,6736000000,1.0,1472309523,1477000000,1483000000,14.118,40444000000,2263000000,350000000,188000000,27.346,20116000000
3,ABT,MRY,2015-12-31,2015-12-31,2015-12-31,2019-05-01,-6658000000,41247000000,42548000000,14155000000,27092000000,0.48,14.339,-1110000000,6125000000,6125000000,8747000000,4423000000,1.541,0.934,9001000000,3130000000,5871000000,9001000000,0,1472000000,0,0.021,0.96,5163000000,6635000000,0.325,6635000000,5163000000,5000000000,2.94,2.92,2.94,21326000000,21914750000,21326000000,72216140305,14,10.884,1856000000,1.241,1.0,11658000000,0.571,15200000000,163000000,19737000000,22510000000,2599000000,4041000000,0,4041000000,19921000000,9186000000,10735000000,66993140305,938000000,2285000000,-1923000000,1147000000,-1443000000,-2236000000,406000000,-821000000,2966000000,-198000000,4423000000,4423000000,4423000000,-1817000000,0,0.217,8791000000,2867000000,1081000000,0.327,3.141,15.147,15.276,5730000000,0,44.91,3.283,3.293,3418000000,25757000000,20405000000,20405000000,1405000000,0.104,0.202,0.229,0.253,292000000,6785000000,1.0,1491719891,1496000000,1506000000,13.64,26047000000,2119000000,577000000,430000000,17.513,4969000000
4,ABT,MRY,2014-12-31,2014-12-31,2014-12-31,2019-05-01,-5053000000,41207000000,41714500000,13556000000,27651000000,0.485,14.326,-1077000000,4460000000,4460000000,9218000000,2284000000,1.295,0.904,7830000000,4437000000,3393000000,7830000000,0,1548000000,0,0.02,0.88,3231000000,4779000000,0.236,4779000000,3231000000,3081000000,1.5,1.49,1.5,21639000000,22956250000,21639000000,71214692182,22,14.902,2598000000,1.714,1.0,11029000000,0.545,16265000000,150000000,17845000000,17591000000,2643000000,229000000,0,229000000,19568000000,10467000000,9101000000,67790692182,588000000,-3312000000,-1766000000,766000000,-1342000000,-2742000000,-202000000,4117000000,3675000000,-143000000,2284000000,2284000000,2284000000,-563000000,0,0.113,8430000000,2599000000,1064000000,0.587,3.133,29.681,30.013,5935000000,0,45.02,3.348,3.371,3586000000,22874000000,20247000000,20247000000,1345000000,0.055,0.099,0.184,0.16,246000000,6530000000,1.0,1505790586,1516000000,1527000000,13.356,24942000000,3288000000,797000000,270000000,16.512,3089000000
5,ABT,MRY,2013-12-31,2013-12-31,2013-12-31,2019-05-01,-2012000000,42953000000,43168859000,19247000000,23706000000,0.455,16.292,-1145000000,8098000000,8098000000,9193000000,2576000000,2.025,0.7,6561000000,3173000000,3388000000,6561000000,0,1719000000,0,0.919,35.21,2774000000,4493000000,0.229,4493000000,2774000000,2629000000,1.64,1.62,1.64,25267000000,23541463000,25267000000,58922756811,21,13.114,2179000000,1.399,1.0,10464000000,0.532,15507000000,145000000,16402000000,16029190000,2693000000,119000000,0,119000000,17686000000,9507000000,8179000000,59265295811,-7327000000,-580000000,-1210000000,1792000000,-882000000,-6696000000,-3929000000,-2225000000,3324000000,-26000000,2576000000,2576000000,2576000000,-588000000,0,0.131,8331000000,2133000000,1026000000,21.47,2.346,23.007,23.372,5905000000,0,38.33,3.015,3.038,3986000000,21979000000,19657000000,19657000000,1371000000,0.06,0.109,0.173,0.141,262000000,6372000000,1.0,1546185646,1558000000,1574000000,12.617,27446000000,4637000000,53000000,175000000,17.697,9740000000
6,ABT,MRY,2012-12-31,2012-12-31,2012-12-31,2019-05-01,-3594000000,67235000000,63692082250,31323000000,35912000000,0.299,17.007,-1795000000,15174000000,15174000000,8899000000,5963000000,2.359,1.508,20476000000,2391000000,18085000000,20476000000,0,2782000000,0,0.031,2.01,5826000000,8608000000,0.452,8608000000,5826000000,5506000000,3.76,3.72,3.76,26813000000,26008315000,26813000000,108308845774,19,12.582,7519000000,4.774,1.0,10151000000,0.533,24362000000,320000000,34895000000,29127881500,3793000000,274000000,0,274000000,40422000000,13280000000,27142000000,103533736774,3989000000,-706000000,-514000000,4413000000,-3183000000,195000000,-5560000000,-3062000000,9314000000,40000000,5963000000,5963000000,5963000000,-5726000000,0,0.313,8791000000,1360000000,1797000000,0.535,3.861,17.363,17.42,8063000000,0,65.5,5.435,5.415,7613000000,24151000000,19050000000,19050000000,1461000000,0.094,0.229,0.2,0.306,433000000,6735000000,1.0,1580667737,1575000000,1592000000,12.095,42873000000,6199000000,-457000000,655000000,27.193,18043000000
7,ABT,MRY,2011-12-31,2011-12-31,2011-12-31,2019-05-01,-2597185000,60276893000,60890168250,23768774000,36508119000,0.352,15.706,-1491000000,8097359000,8097359000,10017000000,4728000000,1.535,1.458,15414577000,3374755000,12039822000,15414577000,0,3044000000,0,0.033,1.88,5197000000,8241000000,0.385,8241000000,5197000000,4838000000,3.03,3.01,3.03,24526145000,25101288000,24526145000,96339671351,19,11.69,7479000000,4.803,1.0,11390000000,0.532,25695016000,359000000,26418867000,26804076500,3284249000,378225000,0,378225000,35750748000,15480228000,20270520000,87594845351,3165000000,-273000000,892000000,-3977000000,-2938000000,-6423000000,661000000,539000000,8970000000,-43000000,4728000000,4728000000,4728000000,-3602000000,0,0.221,9761000000,1629000000,1721127000,0.62,3.571,18.527,18.558,7873955000,0,56.23,4.092,4.09,7683920000,20907362000,21407000000,21407000000,1512000000,0.078,0.188,0.194,0.243,383000000,7365000000,1.0,1557795578,1557000000,1567000000,13.749,34581877000,5261463000,110000000,514947000,22.146,8288546000
0,ABBV,MRY,2018-12-31,2018-12-31,2018-12-31,2019-02-27,-2480000000,59352000000,64124750000,16945000000,42407000000,0.511,-5.646,-638000000,7289000000,7289000000,7718000000,5687000000,0.983,-8.027,40310000000,5308000000,35002000000,40310000000,0,1765000000,0,0.039,3.59,6341000000,8106000000,0.247,8106000000,6341000000,5197000000,3.67,3.66,3.67,-8446000000,-2797250000,-8446000000,171166703186.0,27.0,21.116,12789000000,8.299,1.0,25035000000,0.764,36896000000,1144000000,38238000000,38000750000,1605000000,2192000000,772000000,1420000000,67798000000,17239000000,50559000000,138673703186.0,-2014000000,-736000000,-11941000000,3189000000,-5580000000,-14396000000,-1006000000,368000000,13427000000,-39000000,5687000000,5687000000,5687000000,0,0,0.174,18652000000,6383000000,11931000000,0.978,-16.419,24.384,25.12,2883000000,0,92.19,4.234,4.337,5384000000,3368000000.0,32753000000,32753000000,10329000000,0.089,-2.033,0.167,0.194,421000000,7399000000,1.0,1504216327.0,1541000000,1546000000,21.254,22456000000,0,-490000000,1067000000,15.011,-294000000
1,ABBV,MRY,2017-12-31,2017-12-31,2017-12-31,2019-02-27,-2727000000,70786000000,68071000000,21223000000,49563000000,0.415,3.194,-529000000,9303000000,9303000000,7042000000,5309000000,1.275,12.888,37368000000,6415000000,30953000000,37368000000,0,1501000000,0,0.026,2.56,8731000000,10232000000,0.363,10232000000,8731000000,7727000000,3.31,3.3,3.31,5097000000,5697750000,5097000000,183739720155.0,21.0,17.957,9431000000,5.909,1.0,21174000000,0.75,43344000000,1004000000,38866000000,41721250000,1605000000,2576000000,486000000,2090000000,65689000000,16641000000,49048000000,154390720155.0,4203000000,-308000000,-1156000000,-2000000,-4107000000,-5512000000,-274000000,563000000,9960000000,29000000,5309000000,5309000000,5309000000,0,0,0.188,11629000000,9545000000,10226000000,0.773,30.291,29.081,29.218,2803000000,0,96.71,5.472,5.47,5088000000,5459000000.0,28216000000,28216000000,5007000000,0.078,0.932,0.209,0.309,365000000,6295000000,1.0,1596429740.0,1596000000,1603000000,17.679,27442000000,0,2418000000,2490000000,17.194,4582000000
2,ABBV,MRY,2016-12-31,2016-12-31,2016-12-31,2019-02-27,-2586000000,66099000000,63414000000,16187000000,49912000000,0.404,2.869,-479000000,5100000000,5100000000,5832000000,5953000000,1.655,13.258,36842000000,402000000,36440000000,36842000000,0,1189000000,0,0.036,2.28,8849000000,10038000000,0.392,10038000000,8849000000,7884000000,3.65,3.63,3.65,4636000000,5347000000,4636000000,132855700131.0,15.0,13.235,6562000000,4.046,1.0,19806000000,0.773,44313000000,965000000,43747000000,41680250000,1444000000,3106000000,1323000000,1783000000,61463000000,9781000000,51682000000,101763700131.0,-3299000000,-2757000000,-5765000000,5525000000,-3717000000,-3928000000,-6074000000,-2956000000,7041000000,-338000000,5953000000,5953000000,5953000000,0,0,0.232,10466000000,9340000000,9379000000,0.625,21.951,17.095,17.156,2604000000,0,62.62,3.969,3.962,4758000000,4378000000.0,25638000000,25638000000,4385000000,0.094,1.113,0.212,0.345,353000000,5881000000,1.0,1625099012.0,1622000000,1631000000,15.806,21786000000,0,1931000000,6890000000,13.481,6406000000
3,ABBV,MRY,2015-12-31,2015-12-31,2015-12-31,2019-02-27,-2561000000,53050000000,47109000000,16314000000,36736000000,0.485,2.419,-532000000,8399000000,8399000000,4500000000,5144000000,1.498,12.447,31671000000,2431000000,29240000000,31671000000,0,836000000,0,0.034,2.02,7331000000,8167000000,0.357,8167000000,7331000000,6645000000,3.15,3.13,3.15,3945000000,3922250000,3945000000,119746407363.0,16.0,14.662,7003000000,4.31,1.0,18359000000,0.803,32877000000,686000000,32551000000,29396750000,1719000000,153000000,8000000,145000000,49105000000,10894000000,38211000000,96842407363.0,51000000,-12452000000,-7431000000,16441000000,-3294000000,5752000000,-12936000000,48000000,7535000000,-300000000,5144000000,5144000000,5144000000,0,0,0.225,10822000000,7537000000,8463000000,0.641,24.548,18.826,18.806,2565000000,0,59.24,4.237,4.211,4730000000,2248000000.0,22859000000,22859000000,4285000000,0.109,1.311,0.249,0.321,282000000,6387000000,1.0,1634746917.0,1625000000,1637000000,14.067,20173000000,0,1501000000,5276000000,12.368,5420000000
4,ABBV,MRY,2014-12-31,2014-12-31,2014-12-31,2019-02-27,-2031000000,27513000000,28417250000,16081000000,11432000000,0.702,1.092,-612000000,8348000000,8348000000,4426000000,1774000000,1.411,14.794,14977000000,4439000000,10538000000,14977000000,0,786000000,0,0.025,1.66,2760000000,3546000000,0.178,3546000000,2760000000,2369000000,1.11,1.1,1.11,1742000000,4075500000,1742000000,108741286533.0,39.0,30.666,2937000000,1.841,1.0,15534000000,0.778,7375000000,391000000,15374000000,18801750000,1124000000,118000000,26000000,92000000,25771000000,11393000000,14378000000,104263286533.0,-1247000000,-622000000,-433000000,-146000000,-2661000000,-3293000000,-926000000,308000000,3549000000,-577000000,1774000000,1774000000,1774000000,0,0,0.089,12123000000,3411000000,6954000000,1.495,59.853,58.773,58.955,2485000000,0,65.44,5.224,5.229,3735000000,535000000.0,19960000000,19960000000,3297000000,0.062,0.435,0.147,0.138,241000000,7724000000,1.0,1593265381.0,1595000000,1610000000,12.514,20138000000,896000000,595000000,159000000,12.626,4688000000
5,ABBV,MRY,2013-12-31,2013-12-31,2013-12-31,2019-02-27,-442000000,29198000000,28132250000,17848000000,11350000000,0.668,2.822,-491000000,9595000000,9595000000,4581000000,4128000000,2.595,5.5,14723000000,431000000,14292000000,14723000000,0,897000000,0,0.03,1.6,5610000000,6507000000,0.346,6507000000,5610000000,5332000000,2.58,2.56,2.58,4492000000,3646000000,4492000000,89847412292.0,16.0,13.808,5776000000,3.635,1.0,14209000000,0.756,8167000000,278000000,19280000000,19361500000,1150000000,418000000,300000000,118000000,24706000000,6879000000,17827000000,84013412292.0,3694000000,-405000000,27000000,-601000000,-2555000000,-3442000000,879000000,1775000000,6267000000,-10000000,4128000000,4128000000,4128000000,0,0,0.22,8545000000,5664000000,6448000000,0.62,18.703,20.352,20.469,2298000000,0,52.81,4.471,4.466,3854000000,1567000000.0,18790000000,18790000000,2855000000,0.147,1.132,0.29,0.299,212000000,5352000000,1.0,1590861812.0,1589000000,1604000000,11.825,21031000000,1715000000,1204000000,0,13.21,10969000000
6,ABBV,MRY,2012-12-31,2012-12-31,2012-12-31,2019-02-27,-350000000,27008000000,23264500000,15354000000,11654000000,0.79,2.133,-333000000,5901000000,5901000000,4508000000,5275000000,2.266,7.031,15672000000,1042000000,14630000000,15672000000,0,1150000000,0,,0.0,5809000000,6959000000,0.379,6959000000,5809000000,5725000000,3.35,3.35,3.35,3363000000,7647500000,3363000000,,,,6012000000,3.812,1.0,13872000000,0.755,8453000000,84000000,21550000000,13092500000,1091000000,2194000000,2075000000,119000000,23645000000,6776000000,16869000000,,5874000000,-688000000,0,15586000000,0,1931000000,-2418000000,-1397000000,6345000000,16000000,5275000000,5275000000,5275000000,0,0,0.287,8055000000,5817000000,5734000000,0.0,,,,2247000000,0,,,,4298000000,0.0,18380000000,18380000000,2778000000,0.227,0.69,0.444,0.316,187000000,4989000000,1.0,1580000000.0,1577000000,1577000000,11.655,18555000000,669000000,450000000,0,11.766,8578000000
7,ABBV,MRY,2011-12-31,2011-12-31,2011-12-31,2019-02-27,-25000000,19521000000,20327852500,7354000000,12167000000,0.858,7.566,-356000000,27000000,27000000,4639000000,3433000000,1.247,0.636,48000000,16000000,32000000,48000000,0,1272000000,0,,0.0,3648000000,4920000000,0.282,4920000000,3648000000,3668000000,2.18,2.18,2.18,11932000000,13817499500,11932000000,,,,5891000000,3.736,1.0,12805000000,0.734,9010000000,-20000000,4635000000,6055226500,872000000,855000000,626000000,229000000,7589000000,5897000000,1692000000,,17000000,-273000000,0,0,0,-6783000000,553000000,-688000000,6247000000,0,3433000000,3433000000,3433000000,0,0,0.197,9185000000,3620000000,5881000000,0.0,,,,2144000000,0,,,,3817000000,,17444000000,17444000000,2618000000,0.169,0.248,0.602,0.209,163000000,5894000000,1.0,,1577000000,1577000000,11.062,10511000000,1469000000,235000000,0,6.665,1457000000
0,ACN,MRY,2018-12-31,2018-08-31,2018-08-31,2019-03-28,-1576171000,24449083000,23451752000,13585559000,10863524000,1.774,16.177,-612255000,5061360000,5061360000,29160515000,4214594000,1.338,1.324,25013000,5337000,19676000,25013000,3455806000,926776000,0,0.016,2.66,5672945000,6599721000,0.159,6599721000,5672945000,5653406000,6.46,6.34,6.46,10364753000,9736723750,10364753000,110168870376,19,16.693,5414436000,8.616,1.0,12442913000,0.299,5383012000,19539000,3877973000,4422143750,0,218724000,3192000,215532000,13724495000,10151751000,3572744000,114068917376,934500000,-637349000,-1885948000,-4195000,-1708724000,-3709028000,-1249604000,0,6026691000,-133559000,4059907000,4059907000,4059907000,0,154687000,0.098,6601872000,5841041000,1348802000,0.412,11.005,28.096,26.172,1264020000,0,169.07,2.742,2.554,7496368000,7952413000,41603428000,41603428000,0,0.173,0.417,1.283,0.136,976908000,6601872000,1.0,674684553,628451742,655296150,66.2,19066071000,2086807000,1593499000,1580450000,29.758,3433808000
1,ACN,MRY,2017-12-31,2017-08-31,2017-08-31,2019-03-28,-1094784000,22689890000,21086999000,12097289000,10592601000,1.744,14.497,-505656000,4126860000,4126860000,25734986000,3634932000,1.231,1.45,25070000,2907000,22163000,25070000,3332768000,801789000,0,0.019,2.42,4441794000,5243583000,0.143,5243583000,4441794000,4426249000,5.56,5.44,5.56,8949477000,8124542750,8949477000,86206756673,19,16.44,4467383000,7.204,1.0,11030492000,0.3,5002352000,15545000,3761469000,3820750750,0,214621000,3011000,211610000,12979690000,9824279000,3155411000,89561290673,-778749000,-1728223000,-1973006000,-2120000,-1567578000,-3560235000,-2233879000,0,4973039000,42326000,3445149000,3445149000,3445149000,0,189783000,0.094,6397883000,4632609000,1525065000,0.435,10.007,25.996,23.518,1140598000,0,130.76,2.436,2.205,6926195000,7081855000,36765478000,36765478000,0,0.163,0.424,1.163,0.121,795235000,5888090000,1.0,684928806,620104250,660463227,59.289,17687538000,2214901000,981100000,1420363000,28.651,2273010000
